ts_code,name,fund_type,list_date,invest_type,type,market
021843.OF,国富全球科技互联美元现汇C,混合型,,混合型,契约型开放式,O
021842.OF,国富全球科技互联人民币C,混合型,,混合型,契约型开放式,O
021058.OF,华泰紫金丰利中短债D,债券型,,债券型,契约型开放式,O
017637.OF,华安深证100联接A,股票型,,被动指数型,契约型开放式,O
017638.OF,华安深证100联接C,股票型,,被动指数型,契约型开放式,O
021907.OF,汇丰晋信货币D,货币市场型,,货币型,契约型开放式,O
021886.OF,嘉实沪深300ETF联接(LOF)I,股票型,,被动指数型,契约型开放式,O
021901.OF,平安惠轩C,债券型,,债券型,契约型开放式,O
015519.OF,安信远见稳进一年持有A,混合型,,混合型,契约型开放式,O
015520.OF,安信远见稳进一年持有C,混合型,,混合型,契约型开放式,O
021550.OF,博时中证红利低波动100联接A,股票型,,被动指数型,契约型开放式,O
021551.OF,博时中证红利低波动100联接C,股票型,,被动指数型,契约型开放式,O
020801.OF,易方达红利A,混合型,,混合型,契约型开放式,O
020802.OF,易方达红利C,混合型,,混合型,契约型开放式,O
021170.OF,大成中证500指数增强A,股票型,,增强指数型,契约型开放式,O
021171.OF,大成中证500指数增强C,股票型,,增强指数型,契约型开放式,O
021867.OF,嘉实中证科创创业50ETF联接I,股票型,,被动指数型,契约型开放式,O
021805.OF,财通资管睿丰C,债券型,,债券型,契约型开放式,O
021804.OF,财通资管睿丰A,债券型,,债券型,契约型开放式,O
020585.OF,东海中债0-3年政金债A,债券型,,被动指数型,契约型开放式,O
021880.OF,嘉实中证医药健康100策略ETF联接I,股票型,,被动指数型,契约型开放式,O
021862.OF,嘉实中证央企创新驱动ETF联接I,股票型,,被动指数型,契约型开放式,O
021879.OF,嘉实中证主要消费ETF联接I,股票型,,被动指数型,契约型开放式,O
021861.OF,嘉实中证软件服务ETF联接I,股票型,,被动指数型,契约型开放式,O
021838.OF,嘉实纳斯达克100联接I,股票型,,被动指数型,契约型开放式,O
020586.OF,东海中债0-3年政金债C,债券型,,被动指数型,契约型开放式,O
021897.OF,广发景兴中短债E,债券型,,债券型,契约型开放式,O
021870.OF,嘉实上证科创板芯片联接I,股票型,,被动指数型,契约型开放式,O
021866.OF,嘉实沪深300红利低波动ETF联接I,股票型,,被动指数型,契约型开放式,O
020934.OF,南方尊享稳健增利C,债券型,,债券型,契约型开放式,O
020933.OF,南方尊享稳健增利A,债券型,,债券型,契约型开放式,O
021887.OF,嘉实中证500ETF联接I,股票型,,被动指数型,契约型开放式,O
021718.OF,华泰紫金中证半导体产业指数A,股票型,,被动指数型,契约型开放式,O
021719.OF,华泰紫金中证半导体产业指数C,股票型,,被动指数型,契约型开放式,O
021340.OF,华宝0-2年政金债指数A,债券型,,被动指数型,契约型开放式,O
021341.OF,华宝0-2年政金债指数C,债券型,,被动指数型,契约型开放式,O
021791.OF,华宝宝嘉30天持有C,债券型,,债券型,契约型开放式,O
021790.OF,华宝宝嘉30天持有A,债券型,,债券型,契约型开放式,O
159332.OF,富国中证中央企业红利ETF,股票型,,被动指数型,契约型开放式,O
